"","datetimestamp","station","temp_mean","temp_min","temp_max","sal_mean","sal_min","sal_max"
"240",2022-11-01,"Pine Island",21.0304861111111,20.4533333333333,21.57,18.6726736111111,15.2966666666667,23.4033333333333
"241",2022-12-01,"Pine Island",17.2753024193548,16.7,17.8741935483871,21.067439516129,17.5612903225806,25.6741935483871
"242",2002-12-01,"San Sebastian",14.9489361702128,13.7,16.2,30.068085106383,25,34
"243",2003-01-01,"San Sebastian",13.2008149010477,12.3789473684211,14.0368421052632,30.9956926658906,27.4315789473684,34.0052631578947
"244",2003-02-01,"San Sebastian",15.0072289156627,13.7,16.3642857142857,32.1165662650602,29.7642857142857,33.8964285714286
"245",2003-03-01,"San Sebastian",18.958064516129,16.8612903225806,20.8709677419355,27.0247311827957,23.0032258064516,30.458064516129
"246",2003-04-01,"San Sebastian",21.6306944444444,20.0666666666667,23.2733333333333,30.8192700729927,28.76,32.8566666666667
"247",2003-05-01,"San Sebastian",26.1104838709677,24.2129032258065,27.8516129032258,33.6614919354839,32.7258064516129,34.4677419354839
"248",2003-06-01,"San Sebastian",26.9097916666667,24.9033333333333,28.5933333333333,34.6323611111111,33.0533333333333,35.8233333333333
"249",2003-07-01,"San Sebastian",25.8354166666667,21.9741935483871,28.5,33.5518817204301,31.2354838709677,35.4967741935484
"250",2003-08-01,"San Sebastian",25.8336693548387,22.0096774193548,28.4225806451613,30.523252688172,25.7903225806452,34.9322580645161
"251",2003-09-01,"San Sebastian",26.9502083333333,25.5466666666667,28.3166666666667,33.0966666666667,31.5033333333333,34.1733333333333
"252",2003-10-01,"San Sebastian",24.6681451612903,24.0483870967742,25.3032258064516,32.7469086021505,31.5612903225806,33.8483870967742
"253",2003-11-01,"San Sebastian",22.7261111111111,21.84,23.6733333333333,33.434375,31.8,34.6766666666667
"254",2003-12-01,"San Sebastian",16.2998655913979,15.2290322580645,17.4258064516129,34.4269489247312,33.4,35.1516129032258
"255",2004-01-01,"San Sebastian",14.7131048387097,13.9451612903226,15.6483870967742,34.6340725806452,33.9967741935484,35.1354838709677
"256",2004-02-01,"San Sebastian",14.3300287356322,13.1620689655172,15.6379310344828,32.9290229885057,31.2655172413793,33.9413793103448
"257",2004-03-01,"San Sebastian",17.5422715053763,15.5548387096774,19.4935483870968,32.2489919354839,29.4903225806452,34.3645161290323
"258",2004-04-01,"San Sebastian",21.2398611111111,19.8066666666667,22.6866666666667,34.5252777777778,33.3033333333333,35.4266666666667
"259",2004-05-01,"San Sebastian",25.4225134408602,23.7387096774194,27.0451612903226,35.5914650537634,34.3677419354839,36.5354838709677
"260",2004-06-01,"San Sebastian",25.8625694444444,22.3566666666667,28.5933333333333,35.2254861111111,33.93,36.0766666666667
"261",2004-07-01,"San Sebastian",27.1524193548387,24.4129032258065,29.4709677419355,34.892002688172,33.1096774193548,36.3451612903226
"262",2004-08-01,"San Sebastian",28.2318548387097,27.4903225806452,29.1709677419355,31.9815860215054,28.4322580645161,35.4612903225806
"263",2004-09-01,"San Sebastian",27.1247916666667,26.49,27.9033333333333,27.6655555555556,22.3466666666667,33.19
"264",2004-10-01,"San Sebastian",25.5848790322581,24.8709677419355,26.3387096774194,30.3275537634409,27.4806451612903,33.3258064516129
"265",2004-11-01,"San Sebastian",21.9714583333333,21.2066666666667,22.74,33.2590277777778,32.2266666666667,34.4233333333333
"266",2004-12-01,"San Sebastian",16.5100134408602,15.5709677419355,17.4483870967742,33.1415322580645,32.3290322580645,33.8967741935484
"267",2005-01-01,"San Sebastian",15.0685483870968,14.041935483871,16.1064516129032,32.9289650537634,32.2032258064516,33.5645161290323
"268",2005-02-01,"San Sebastian",13.8369047619048,12.4285714285714,15.4392857142857,32.9645089285714,31.9571428571429,33.7321428571429
"269",2005-03-01,"San Sebastian",16.203561827957,14.8903225806452,17.6903225806452,32.4956317204301,29.6354838709677,34.5258064516129
"270",2005-04-01,"San Sebastian",20.0424305555556,18.7533333333333,21.5266666666667,31.5804166666667,28.2433333333333,34.0666666666667
